City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Baykal'sk,0,RU,1602535928,79,51.51,104.15,27.39,5.23
São Filipe,16,CV,1602535928,77,14.9,-24.5,77.97,9.93
Beihai,10,CN,1602535928,75,21.48,109.1,76.03,19.62
Dubí,7,CZ,1602535928,99,50.69,13.79,39.99,3.04
Castlemaine,27,AU,1602535928,55,-37.07,144.22,55.99,1.01
Iqaluit,40,CA,1602535928,74,63.75,-68.51,28.4,18.34
Te Anau,50,NZ,1602535928,86,-45.42,167.72,48.36,2.86
Marsh Harbour,78,BS,1602535929,71,26.54,-77.06,84.29,8.14
Katsuura,75,JP,1602535929,100,35.13,140.3,71.01,3.98
Chake Chake,18,TZ,1602535929,87,-5.25,39.77,77.32,6.15
Nabire,100,ID,1602535682,89,-3.37,135.48,75.67,3.74
Kudahuvadhoo,99,MV,1602535929,79,2.67,72.89,82.27,18.05
Dakar,40,SN,1602535929,83,14.69,-17.44,82.4,6.93
Edemissen,4,DE,1602535929,95,52.39,10.26,48.0,3.85
Pangody,36,RU,1602535929,95,65.85,74.49,33.03,8.77
Kudymkar,100,RU,1602535929,70,59.02,54.66,42.96,7.99
Qaqortoq,100,GL,1602535929,87,60.72,-46.03,53.6,12.75
Iwaki,16,JP,1602535930,95,37.05,140.88,66.99,5.68
Nísia Floresta,40,BR,1602535930,74,-6.09,-35.21,80.6,8.05
Presque Isle,1,US,1602535930,32,46.68,-68.02,51.8,2.3
Khanbari,9,NP,1602535930,64,27.37,87.2,68.05,2.17
Osoyoos,2,CA,1602535847,56,49.03,-119.45,57.99,7.36
Were Īlu,48,ET,1602535930,70,10.6,39.43,51.19,6.06
Richards Bay,11,ZA,1602535930,77,-28.78,32.04,63.64,12.3
‘Āhuimanu,75,US,1602535930,78,21.44,-157.84,82.4,9.17
Cairns,40,AU,1602535650,83,-16.92,145.77,73.4,8.05
Krasnoborsk,100,RU,1602535931,92,61.56,45.93,43.32,5.39
Mae Hong Son,40,TH,1602535931,67,19.3,97.97,70.57,1.52
Cam Ranh,75,VN,1602535931,88,11.92,109.16,80.6,2.24
Ust'-Omchug,100,RU,1602535931,97,61.15,149.63,32.13,3.96
Road Town,40,VG,1602535892,70,18.42,-64.62,86.0,10.29
La Palma,1,US,1602535931,28,33.85,-118.05,93.2,5.82
Zeya,100,RU,1602535829,97,53.75,127.27,28.06,0.38
Riachão,85,BR,1602535931,56,-7.36,-46.62,82.15,4.05
Dalvik,12,IS,1602535931,75,65.97,-18.53,41.0,6.93
Takoradze,1,GH,1602535932,88,4.88,-1.76,76.59,8.84
Vaitape,2,PF,1602535932,78,-16.52,-151.75,79.56,15.48
Tonj,2,SS,1602535932,84,7.27,28.68,73.92,4.54
Ponta Delgada,40,PT,1602535932,72,37.73,-25.67,66.2,6.93
Altamont,20,US,1602535932,48,42.21,-121.74,64.99,16.11
San Quintín,0,MX,1602535932,36,30.48,-115.95,84.07,13.87
Havre-St-Pierre,1,CA,1602535932,60,50.23,-63.6,42.8,18.34
Koutiala,100,ML,1602535932,54,12.39,-5.46,82.76,4.54
Beisfjord,20,NO,1602535933,86,68.38,17.6,41.0,12.75
Farafangana,82,MG,1602535933,91,-22.82,47.83,74.19,7.72
Teya,100,RU,1602535933,96,60.38,92.63,25.36,2.71
Bahía Blanca,0,AR,1602535756,31,-38.72,-62.27,74.88,6.62
Losevo,22,RU,1602535933,83,50.68,40.05,56.3,4.59
Cidreira,0,BR,1602535933,78,-30.18,-50.21,66.11,4.09
Tabou,68,CI,1602535933,86,4.42,-7.35,77.32,6.53
La Rioja,0,AR,1602535874,16,-29.41,-66.85,84.87,10.4
Chekhov,100,RU,1602535933,9,55.14,37.47,54.0,4.05
Dickinson,20,US,1602535933,49,29.46,-95.05,91.99,4.7
Sangmélima,96,CM,1602535934,98,2.93,11.98,67.77,5.26
Boa Vista,75,BR,1602535846,38,2.82,-60.67,93.2,8.05
Seminole,20,US,1602535934,48,28.71,-81.21,88.0,11.41
Sambava,35,MG,1602535934,86,-14.27,50.17,74.95,7.47
Darhan,0,MN,1602535934,75,49.49,105.92,23.81,5.06
Port Shepstone,4,ZA,1602535934,80,-30.74,30.45,62.53,18.97
Ombessa,30,CM,1602535934,97,4.6,11.26,69.94,4.81
Skellefteå,3,SE,1602535934,100,64.75,20.95,42.8,4.7
Kütahya,0,TR,1602535911,72,39.42,29.98,60.8,4.7
Marrakesh,0,MA,1602535935,32,31.63,-8.01,80.6,10.29
Kodinsk,100,RU,1602535935,93,58.69,99.18,19.09,3.44
Progreso,75,MX,1602535935,59,21.28,-89.67,93.99,4.7
Broome,90,US,1602535935,81,42.25,-75.83,51.01,11.41
Yulara,0,AU,1602535935,29,-25.24,130.99,62.6,5.82
Bad Sooden-Allendorf,10,DE,1602535935,86,51.28,9.98,43.0,1.25
Lindi,40,TZ,1602535935,94,-10.0,39.72,77.0,5.82
Semey,100,KZ,1602535935,84,50.41,80.23,44.44,8.97
Asău,100,RO,1602535935,98,46.43,26.4,59.0,2.73
Bogorodskoye,81,RU,1602535935,97,56.55,37.88,50.97,3.8
Dorado,40,PR,1602535936,66,18.46,-66.27,87.8,14.99
Yazman,0,PK,1602535936,17,29.12,71.74,79.18,3.85
Guerrero Negro,0,MX,1602535936,34,27.98,-114.06,88.92,9.86
Funadhoo,98,MV,1602535936,75,6.15,73.27,83.3,24.74
Fayaoué,98,NC,1602535936,85,-20.65,166.53,76.14,18.14
Klaksvík,74,FO,1602535936,81,62.23,-6.59,42.8,9.17
Port Moresby,97,PG,1602535936,85,-9.44,147.18,77.76,4.03
Mitsamiouli,1,KM,1602535936,83,-11.38,43.28,79.57,12.21
Vila Franca do Campo,40,PT,1602535936,72,37.72,-25.43,66.2,6.93
Laas,19,IT,1602535937,59,46.62,10.7,36.0,5.82
Province of Mantua,20,IT,1602535937,93,45.17,10.78,48.2,6.93
Los Llanos de Aridane,94,ES,1602535937,73,28.66,-17.92,75.2,10.29
Guarapari,90,BR,1602535937,94,-20.67,-40.5,73.99,3.36
San Francisco,1,US,1602535755,56,37.77,-122.42,81.0,3.36
Kurumkan,1,RU,1602535937,86,54.3,110.3,22.84,2.82
Hamilton,90,US,1602535937,69,39.18,-84.53,75.99,11.41
Sørland,40,NO,1602535937,81,67.67,12.69,42.8,8.05
Chimbote,45,PE,1602535937,76,-9.09,-78.58,65.73,8.57
Bandundu Province,37,CD,1602535938,90,-3.32,17.37,74.08,0.69
Tocopilla,36,CL,1602535938,44,-22.09,-70.2,66.36,4.63
Igurusi,27,TZ,1602535938,62,-8.85,33.85,66.85,2.68
Nūrpur,0,IN,1602535938,54,29.15,78.42,71.55,4.65
Serenje,100,ZM,1602535938,88,-13.23,30.24,63.37,12.57
Lagoa,15,PT,1602535938,73,39.05,-27.98,68.92,17.58
‘Ewa Beach,20,US,1602535780,83,21.32,-158.01,78.8,9.44
Luanda,20,AO,1602535758,78,-8.84,13.23,75.2,11.41
Gulfport,20,US,1602535938,62,30.37,-89.09,86.0,10.29
Puerto Cabezas,40,NI,1602535938,88,14.04,-83.39,80.6,6.93
Vanimo,100,PG,1602535939,87,-2.67,141.3,78.78,5.08
Araouane,62,ML,1602535939,21,18.9,-3.53,95.31,19.73
Yaan,5,NG,1602535939,89,7.38,8.57,76.37,6.15
Alofi,75,NU,1602535939,73,-19.06,-169.92,75.2,18.34
Kutoarjo,76,ID,1602535939,85,-7.72,109.91,66.99,2.37
Srīvardhan,100,IN,1602535939,88,18.03,73.02,77.54,4.99
Bogovarovo,99,RU,1602535939,87,58.98,47.02,45.61,5.75
Djibo,15,BF,1602535939,22,14.1,-1.63,92.44,6.2
Oktyabr'skiy,97,RU,1602535939,52,54.48,53.47,47.1,8.39
Markova,100,UA,1602535939,85,48.68,24.41,51.82,2.3
Shimoda,0,JP,1602535940,95,34.67,138.95,60.01,2.21
Tigil',99,RU,1602535940,80,57.8,158.67,34.09,5.3
Inírida,62,CO,1602535940,67,3.87,-67.92,87.6,1.7
Tezu,0,IN,1602535940,69,27.92,96.17,73.54,3.65
Carnarvon,40,AU,1602535940,93,-24.87,113.63,66.2,12.75
Khāsh,0,IR,1602535940,58,28.22,61.22,40.86,5.19
Dali,98,CN,1602535940,85,25.7,100.18,58.8,2.82
Mayo,90,US,1602535940,100,38.89,-76.51,61.0,9.17
Dolores,43,AR,1602535834,71,-36.31,-57.68,64.13,6.55
Conneaut,90,US,1602535941,64,41.95,-80.55,69.8,17.22
Gīdam,100,IN,1602535941,89,18.98,81.4,74.07,8.14
Vila do Maio,75,CV,1602535941,74,15.13,-23.22,78.8,9.17
Guiren,100,CN,1602535941,69,33.67,118.19,61.74,5.86
Pringsewu,91,ID,1602535941,92,-5.36,104.97,73.11,2.91
Cartagena,40,CO,1602535941,74,10.4,-75.51,87.8,11.41
Paamiut,100,GL,1602535941,92,61.99,-49.67,38.8,17.25
Alexandria,93,EG,1602535719,64,31.22,29.96,75.2,4.7
Chirongui,90,YT,1602535941,83,-12.93,45.15,80.6,3.36
Borba,97,BR,1602535942,47,-4.39,-59.59,90.01,0.94
Buraidah,0,SA,1602535802,26,26.33,43.98,71.6,3.83
Egvekinot,7,RU,1602535942,95,66.32,-179.17,22.75,6.78
Seydi,0,TM,1602535942,38,39.48,62.91,50.68,10.47
Jhanjhārpur,0,IN,1602535942,69,26.27,86.28,76.08,3.83
Sumoto,90,JP,1602535942,73,34.35,134.9,69.8,11.41
Nova Olinda do Norte,90,BR,1602535942,49,-3.89,-59.09,89.55,0.63
Juegang,2,CN,1602535942,74,32.32,121.19,63.77,12.01
Angoche,100,MZ,1602535942,82,-16.23,39.91,76.69,11.32
Lüderitz,0,NA,1602535942,55,-26.65,15.16,62.89,16.13
El Batey,40,DO,1602535942,63,19.77,-70.52,91.4,16.11
Ambilobe,0,MG,1602535943,76,-13.2,49.05,75.97,7.83
São João da Barra,90,BR,1602535660,73,-21.64,-41.05,73.4,13.87
Wanaraja,100,ID,1602535943,91,-7.17,107.98,68.97,2.89
Gisborne,97,NZ,1602535918,74,-38.65,178.0,59.74,5.77
Dzerzhinsk,75,RU,1602535943,62,56.24,43.46,53.6,6.71
Shelburne,90,CA,1602535943,77,44.08,-80.2,60.8,14.99
Bonavista,97,CA,1602535943,73,48.65,-53.11,46.0,5.99
Bayir,0,TR,1602535943,77,37.27,28.22,62.6,4.41
Nidadavole,100,IN,1602535944,95,16.92,81.67,75.58,16.17
Hanna,89,CA,1602535944,49,51.63,-111.9,48.0,17.0
Florø,0,NO,1602535944,87,61.6,5.03,42.8,8.05
Pombia,0,IT,1602535944,32,45.65,8.63,53.6,12.75
Dūngarpur,0,IN,1602535944,31,23.83,73.72,77.04,5.21
Ukiah,1,US,1602535944,29,39.15,-123.21,82.0,7.27
Pokhara,20,NP,1602535944,61,28.23,83.98,69.62,2.04
Nuuk,75,GL,1602535944,93,64.18,-51.72,41.0,8.05
Saint Anthony,1,US,1602535944,28,45.02,-93.22,64.99,14.99
Coeneo de la Libertad,77,MX,1602535945,59,19.82,-101.58,72.0,3.0
Kieta,88,PG,1602535945,75,-6.22,155.63,82.11,4.5
Bowen,40,AU,1602535945,88,-20.02,148.23,64.4,5.82
Ełk,100,PL,1602535945,93,53.83,22.36,43.5,10.76
Kamenskiy,37,RU,1602535945,56,50.89,45.49,49.82,6.93
Bousso,37,TD,1602535945,68,10.48,16.71,79.0,2.93
Clarence Town,20,AU,1602535945,100,-32.58,151.78,62.01,5.82
Jiujiang,0,CN,1602535945,74,29.73,115.98,65.01,10.38
Belyy Yar,100,RU,1602535946,86,53.6,91.39,37.4,4.47
Lovozero,100,RU,1602535946,95,68.0,35.01,40.64,6.31
Inhambane,82,MZ,1602535946,79,-23.86,35.38,66.42,7.0
Torbat-e Jām,0,IR,1602535946,48,35.24,60.62,44.73,14.81
Empalme,40,MX,1602535946,37,27.97,-110.82,100.99,14.41
Drayton Valley,0,CA,1602535946,59,53.22,-114.99,44.01,21.0
Berbera,0,SO,1602535946,62,10.44,45.01,84.97,8.25
Santana do Mundaú,40,BR,1602535947,78,-9.17,-36.22,78.8,12.75
Santa Cruz de la Sierra,75,BO,1602535911,49,-17.8,-63.17,93.2,12.75
Lata,0,PT,1602535947,87,40.16,-8.33,60.01,5.82
Merauke,100,ID,1602535947,79,-8.47,140.33,80.24,13.67
